股票代號,股票名稱,2020股利,2019股利,2018股利,2017股利,2016股利,2015股利
8070,長華*,1.3,1.04,0.26,12.6,8.5,
4303,信立,0.3,1.2,1.2,55,0,
8066,來思達,3,6.1032308,10,8,8,
3623,富晶通,0,0,2.5,3.18576322,4.00022053,
1416,廣豐,0.5,0,1.2,1.2,3,
6548,長華科,1.32,0.92,0.4,1.24,0.9,
6496,科懋,1,1,4,4,4,
1463,強盛,0.3,0.6,1.4,3,3.3,
8107,大億金茂,0.06744125,1,1,7,0,
6158,禾昌,0.5,0.3,10,1.22103744,1.2,
8941,關中,2.5,2,4,9,3,
5015,華祺,1.9,2.4,4.2,3.1,2.5,
6136,富爾特,1.1,1.4,1.5,1.8,2,
8433,弘帆,2,2,3,5.04761758,6.0571411,
2926,誠生,0.84,4.2,6.8,7.56,7.68,
5356,協益,2.2,2.2,2,2,4,
4741,泓瀚,0.6,1.5,1.94874887,3,3.5,
6108,競國,0.5,1.6,2.5,1.35,2,
3541,西柏,2,5.54928098,4,5,5,
2596,綠意,1.2,1,2,2.268919,2.2,
1464,得力,0.3,1.5,1.5,2.2,2.36591061,
3310,佳穎,1.5,2,5,1.5,0.5,
2235,謚源,2,3,3,3.5,4,
6613,朋億,8,10,15,10,6,
8916,光隆,3,2.99187,3.37065281,2.98766157,3.58223351,
1565,精華,12,18,26.5,25,27,
6220,岳豐,1.00377448,0.85,2,2.3,2.3,
3088,艾訊,2.6,3.97517365,3.74901188,5.52777179,3.65,
1310,台苯,0.5,1,2,1.6,2.2,
6574,霈方,1.38,1.23,4,6.16189,7.07,4.470585
4305,世坤,1.8,2.1,2.6,2.4,2.4,
5315,光聯,0.85,0.82336862,1.46665148,1,2.50471023,
6128,上福,1,2.4,2,0.5,2.8,
6292,迅德,2.7,3.52253184,2.3,2.3,3.2,
8049,晶采,1.65,1.8,2,1.39946144,1.3,
8342,益張,4,3.5,3.5,2.98793524,5.8,
8091,翔名,2.6,1.45221136,5.62644267,8.09985626,3.63123347,
4972,湯石,2.4,2.24135984,2.35891272,2.3,2.7,
4995,晶達,1.79935464,3.69911449,2.14818643,2.26244018,1.7997142,
6210,慶生,3,3,2.6,3.5,2,
4987,科誠,3.5,3.2,5,4.7,3.5,
2496,卓越,4.5,2.5260502,4,7,3,
6577,勁豐,5,5,4.5,4,4.06198062,
1595,川寶,0.5,1.25,2.5,4,1.5,
